,ci_test_results,z_test_results,z_test_p_values,mean_diff
749,True,False,0.2961,1.3
750,True,False,0.0713,1.9
751,True,False,0.5916,-1.8
752,True,False,0.9836,-0.0
753,True,False,0.9795,0.0
754,True,False,0.4029,0.3
755,False,True,0.0,4.3
756,True,False,0.525,-0.9
757,True,False,0.5553,0.5
758,True,False,0.5712,0.5
759,False,True,0.0,-9.5
760,True,False,0.1503,-0.8
761,True,False,0.7683,0.8
762,False,True,0.0014,7.9
763,True,False,0.184,-2.5
764,True,False,0.2804,-1.6
765,True,False,0.9882,-0.0
766,False,True,0.0,-34.0
767,False,True,0.0104,3.9
768,True,False,0.176,-1.0
769,True,False,0.097,-3.0
770,True,True,0.0462,-2.7
771,True,False,0.0576,2.7
772,True,False,0.7808,0.3
773,True,False,0.6349,-0.2
774,True,True,0.0301,-3.2
775,True,False,0.2703,1.4
776,False,True,0.0,-28.6
777,True,False,0.8022,-0.2
778,True,False,0.1628,-3.0
779,True,False,0.099,-2.4
780,True,False,0.6663,-0.8
781,True,False,0.4394,0.3
782,True,False,0.0675,4.5
783,True,False,0.0662,-2.9
784,True,False,0.8513,0.1
785,True,False,0.1035,1.7
786,True,False,0.4238,1.3
787,True,True,0.0368,0.6
788,True,True,0.023,4.2
789,True,False,0.9896,0.0
790,True,False,0.4804,0.8
791,True,False,0.9947,-0.0
792,True,False,0.0664,-5.5
793,True,False,0.7079,-0.5
794,True,False,0.2596,-3.0
795,True,False,0.617,-0.3
796,True,False,0.2502,-1.6
797,True,False,0.5477,0.8
798,True,False,0.4258,-0.3
799,True,False,0.6877,0.4
800,True,False,0.0946,-2.1
801,False,True,0.0,-15.9
802,True,False,0.8287,-0.1
803,True,False,0.2242,-1.9
804,True,False,0.2708,1.0
805,True,False,0.7751,-0.3
806,False,True,0.004,-3.6
807,False,True,0.0,-2.1
808,False,True,0.0003,-4.3
809,True,False,0.7672,0.2
810,True,False,0.2755,1.5
811,True,False,0.1699,-2.0
812,True,False,0.3412,1.2
813,False,True,0.0004,-3.1
814,True,False,0.3422,-1.5
815,True,False,0.1798,-1.8
816,False,True,0.0,4.8
817,True,False,0.2214,-1.4
818,True,False,0.9529,0.1
819,True,False,0.6002,-14.2
820,True,False,0.2299,1.2
821,True,False,0.3175,-1.4
822,True,False,0.3325,-1.9
823,True,False,0.3968,0.5
824,True,False,0.5038,1.0
825,False,True,0.0,-8.4
826,True,False,0.3137,1.5
827,True,False,0.2171,1.9
828,True,False,0.0782,-2.9
829,False,True,0.0,-10.0
830,True,False,0.7041,-0.5
831,True,False,0.3933,-0.6
832,True,True,0.0342,1.8
833,False,True,0.0,-31.6
834,True,False,0.8115,0.1
835,True,False,0.5858,0.7
836,True,False,0.7349,0.5
